Id,Hrapx,Hrapy,Lat,Lon,Globvalue
519,533,10,24.8152,-100.2378,0.02
520,534,10,24.8125,-100.2021,0.03
521,535,10,24.8098,-100.1663,0.01
522,536,10,24.8070,-100.1305,0.01
523,537,10,24.8042,-100.0948,0.11
524,538,10,24.8014,-100.0590,0.10
525,539,10,24.7986,-100.0233,0.20
526,540,10,24.7958,-99.9875,0.13
2094,532,11,24.8504,-100.2707,0.01
2095,533,11,24.8477,-100.2349,0.04
2096,534,11,24.8450,-100.1991,0.04
2097,535,11,24.8422,-100.1633,0.01
2098,536,11,24.8395,-100.1275,0.07
2099,537,11,24.8367,-100.0917,0.07
2100,538,11,24.8339,-100.0559,0.20
2101,539,11,24.8311,-100.0201,0.25
2102,540,11,24.8282,-99.9844,0.15
3670,532,12,24.8829,-100.2677,0.01
3671,533,12,24.8802,-100.2319,0.01
3672,534,12,24.8775,-100.1961,0.03
3673,535,12,24.8747,-100.1602,0.06
3674,536,12,24.8720,-100.1244,0.03
3675,537,12,24.8692,-100.0886,0.04
3676,538,12,24.8664,-100.0528,0.29
3677,539,12,24.8635,-100.0170,0.32
3678,540,12,24.8607,-99.9812,0.13
3679,541,12,24.8578,-99.9454,0.07
5251,537,13,24.9017,-100.0856,0.10
5252,538,13,24.8989,-100.0497,0.25
5253,539,13,24.8960,-100.0139,0.29
5254,540,13,24.8932,-99.9781,0.07
6828,538,14,24.9314,-100.0466,0.16
6829,539,14,24.9285,-100.0108,0.13
6830,540,14,24.9257,-99.9749,0.05
8380,514,15,25.0257,-100.9054,0.01
8399,533,15,24.9777,-100.2229,0.03
8404,538,15,24.9639,-100.0435,0.06
9974,532,16,25.0130,-100.2558,0.09
46079,389,39,25.9454,-105.4220,0.02
46080,390,39,25.9456,-105.3853,0.07
46081,391,39,25.9458,-105.3486,0.05
46082,392,39,25.9460,-105.3119,0.02
47654,388,40,25.9781,-105.4589,0.02
47655,389,40,25.9784,-105.4222,0.02
47656,390,40,25.9786,-105.3855,0.05
47657,391,40,25.9788,-105.3488,0.05
47658,392,40,25.9790,-105.3121,0.02
49229,387,41,26.0108,-105.4960,0.07
49230,388,41,26.0111,-105.4592,0.07
49231,389,41,26.0114,-105.4225,0.05
49232,390,41,26.0116,-105.3858,0.05
49233,391,41,26.0118,-105.3490,0.02
49234,392,41,26.0120,-105.3123,0.02
50804,386,42,26.0436,-105.5331,0.10
50805,387,42,26.0439,-105.4963,0.12
50806,388,42,26.0441,-105.4595,0.12
50807,389,42,26.0444,-105.4228,0.07
50808,390,42,26.0446,-105.3860,0.02
50809,391,42,26.0448,-105.3492,0.02
50810,392,42,26.0450,-105.3125,0.02
52379,385,43,26.0763,-105.5702,0.05
52380,386,43,26.0766,-105.5334,0.10
52381,387,43,26.0769,-105.4966,0.12
52382,388,43,26.0772,-105.4598,0.10
52383,389,43,26.0774,-105.4230,0.07
52384,390,43,26.0777,-105.3863,0.05
52385,391,43,26.0779,-105.3495,0.05
52386,392,43,26.0781,-105.3127,0.02
53954,384,44,26.1090,-105.6074,0.05
53955,385,44,26.1093,-105.5705,0.05
53956,386,44,26.1096,-105.5337,0.07
53957,387,44,26.1099,-105.4969,0.10
